indiv	mean_gill_score	amoebic_load
Fish_01081	3	29.6
Fish_01082	2.25	28.8
Fish_01083	1.5	31.19
Fish_01084	1.25	35.87
Fish_01085	1.25	33.41
Fish_01086	3.5	31.79
Fish_01087	1	38.78
Fish_01088	3.5	27.37
Fish_01089	2.75	31.07
Fish_01090	2.5	31.47
Fish_01091	2.25	32.46
Fish_01092	3	32.23
Fish_01093	2	37.66
Fish_01094	2.5	33.55
Fish_01095	3.25	31.25
Fish_01096	3.5	26.91
Fish_01097	2.75	30.72
Fish_01098	1	37.34
Fish_01099	3	30.38
Fish_01100	2.25	34.04
Fish_01101	2.5	35.03
Fish_01102	2.5	31.19
Fish_01103	4	26.31
Fish_01104	1.5	38.51
Fish_01105	4	26.26
Fish_01106	3	29.26
Fish_01107	3.5	29.86
Fish_01108	2	35.25
Fish_01109	3.5	28.72
Fish_01110	3.5	29.84
Fish_01111	2.75	33.3
Fish_01112	3.5	31.75
Fish_01113	3	29.92
Fish_01114	3	31.87
Fish_01115	1	33.04
Fish_01116	1.5	35.18
Fish_01117	3	30.33
Fish_01118	2.25	33.44
Fish_01119	1	36.93
Fish_01120	3	27.1
Fish_01121	2.25	33.47
Fish_01122	3.5	28.24
Fish_01123	2	30.51
Fish_01124	3	29.54
Fish_01125	1	34.66
Fish_01126	4	26.21
Fish_01127	3	31.83
Fish_01128	2	37.49
Fish_01129	2.5	31.16
Fish_01130	2	34.1
Fish_01131	1.5	32.91
Fish_01132	0.75	38.12
Fish_01133	3	31.56
Fish_01134	2.5	35.49
Fish_01135	3.75	29.09
Fish_01136	2.5	33.55
Fish_01137	2.5	28.51
Fish_01138	2.5	36.07
Fish_01139	2.5	31.95
Fish_01140	1	37.29
Fish_01141	1	33.06
Fish_01142	1	34.25
Fish_01143	4	27.84
Fish_01144	3	29.08
Fish_01145	3	28.2
Fish_01146	2.5	31.06
Fish_01147	2.75	31.94
Fish_01148	3	31.57
Fish_01149	1	34
Fish_01150	2.25	37.43
Fish_01151	3.5	27.41
Fish_01152	3	29.5
Fish_01153	1.5	34.39
Fish_01154	3.5	27.33
Fish_01155	2.25	35.52
Fish_01156	1.5	36.09
Fish_01157	4	27.84
Fish_01158	1.5	38.69
Fish_01159	3	30.93
Fish_01160	3	32.27
Fish_01161	2.25	31.9
Fish_01168	2.75	30.56
Fish_01169	1.5	39.91
Fish_01170	4	27.12
Fish_01171	2.5	33.6
Fish_01172	4	28.25
Fish_01173	2.75	28.41
Fish_01174	1.75	34.95
Fish_01175	2.5	29.27
Fish_01176	2.5	32.19
Fish_01177	2	37.19
Fish_01178	2.75	29.36
Fish_01179	2.5	30.65
Fish_01180	3	33.42
Fish_01181	2.25	34.16
Fish_01182	1.75	34.84
Fish_01183	1.5	34.41
Fish_01184	3.25	32.07
Fish_01185	1.25	39.98
Fish_01186	1.75	36.94
Fish_01187	2.25	32.06
Fish_01188	2.25	34.51
Fish_01189	3.5	29.36
Fish_01190	2.75	29.41
Fish_01191	3	32.81
Fish_01192	2	38.71
Fish_01193	1.5	33.11
Fish_01194	4	27.06
Fish_01195	1	41.03
Fish_01196	3	28.42
Fish_01197	1.25	36.33
Fish_01198	2	31.63
Fish_01199	3	33.01
Fish_01200	1.25	37.46
Fish_01201	2.5	29.23
Fish_01202	3	30.36
Fish_01203	2.5	32.18
Fish_01204	1	37.33
Fish_01205	2	34.94
Fish_01206	2	30.96
Fish_01207	2.5	30.98
Fish_01208	3.25	33.2
Fish_01209	4	28.69
Fish_01210	3	28.99
Fish_01211	1	34.34
Fish_01212	3	28.87
Fish_01213	2.25	31.7
Fish_01214	1.5	34.65
Fish_01215	1.5	34.35
Fish_01216	3	30.31
Fish_01217	2.25	31.44
Fish_01218	2	37.23
Fish_01219	2.5	32.27
Fish_01220	4	28.61
Fish_01221	2	33.65
Fish_01222	2.5	32.25
Fish_01223	2	32.15
Fish_01224	2	34.01
Fish_01225	1.5	33.62
Fish_01226	4	29.75
Fish_01227	4.25	26.55
Fish_01228	3.25	31.15
Fish_01229	3	30.35
Fish_01231	3	29.61
Fish_01232	3	30.84
Fish_01233	3.5	28.02
Fish_01234	4	27.38
Fish_01235	3	30.8
Fish_01236	3	30.58
Fish_01237	2.5	32.27
Fish_01238	3.25	29.32
Fish_01239	4	29.57
Fish_01240	3.75	28.27
Fish_01241	3.25	29.06
Fish_01242	3.5	31
Fish_01243	3.25	32
Fish_01244	4	28.77
Fish_01245	3.5	31.76
Fish_01246	3	32.6
Fish_01247	3.25	31.08
Fish_01248	3	31.9
Fish_01249	2.5	33.42
Fish_01250	3	29.49
Fish_01251	3.5	30.25
Fish_01252	3	31.56
Fish_01253	2	35.29
Fish_01254	1.5	36.93
Fish_01255	3.5	26.1
Fish_01256	2	35.39
Fish_01257	4	28.98
Fish_01258	3.5	29.14
Fish_01259	2.75	31.59
Fish_01260	2.25	33.47
Fish_01261	2.25	33.21
Fish_01262	3.75	27.54
Fish_01264	3.5	26.68
Fish_01265	3.75	28.97
Fish_01266	3.5	27.71
Fish_01267	3.5	27.73
Fish_01268	4	29.05
Fish_01269	1.5	40.05
Fish_01270	3.25	31.68
Fish_01271	3.5	30.38
Fish_01272	2.25	32.56
Fish_01273	2.75	32.39
Fish_01274	3	31.2
Fish_01275	3.5	30.15
Fish_01276	1	36.83
Fish_01277	1	40.44
Fish_01278	1	36.98
Fish_01279	3.5	28.85
Fish_01280	2	32.57
Fish_01281	3	31.69
Fish_01282	3	31.75
Fish_01283	2	30.9
Fish_01284	3.25	30.5
Fish_01285	2.5	31.51
Fish_01286	3	33.51
Fish_01287	4.5	25.87
Fish_01288	3	33.28
Fish_01289	3.5	28.73
Fish_01290	2	32.55
Fish_01291	2.5	28.95
Fish_01292	3.5	29.79
Fish_01293	4.5	25.98
Fish_01294	3.25	27.62
Fish_01295	1.5	40.15
Fish_01296	3.75	27.65
Fish_01297	3.25	27.81
Fish_01298	3.75	28.3
Fish_01299	3.5	28.72
Fish_01300	2.25	31.06
Fish_01301	2.75	29.53
Fish_01302	1.25	34.4
Fish_01303	2.75	31.91
Fish_01304	2.75	34.21
Fish_01305	3.75	28.1
Fish_01306	3	30.3
Fish_01307	3.75	27.52
Fish_01308	2.5	30.9
Fish_01309	1	35.39
Fish_01310	2	31
Fish_01311	4	29.67
Fish_01312	2	36.3
Fish_01313	3	28.12
Fish_01314	1.5	36.16
Fish_01315	1.5	31.18
Fish_01316	2	29.98
Fish_01317	2	37.78
Fish_01318	1.75	36.61
Fish_01319	1.75	30.53
Fish_01320	1	39.7
Fish_01321	2	32.97
Fish_01322	2.5	33.77
Fish_01323	4	27.86
Fish_01325	3.75	26.16
Fish_01326	1	40.49
Fish_01327	4	26.63
Fish_01328	4	28.28
Fish_01329	1	36.23
Fish_01330	3.5	28.28
Fish_01331	1	36.79
Fish_01332	3.5	27.65
Fish_01333	2.5	29.19
Fish_01334	1	32.42
Fish_01335	4.25	27.66
Fish_01336	2	34.38
Fish_01337	3	31.56
Fish_01338	3	30.59
Fish_01339	3.5	26.21
Fish_01340	4	27.49
Fish_01341	2.75	29.56
Fish_01343	2.25	35.3
Fish_01344	3	31.48
Fish_01345	1	41.39
Fish_01347	2	35.35
Fish_01348	2	33.45
Fish_01349	2.5	31.71
Fish_01350	1.5	37.38
Fish_01351	3	32.87
Fish_01352	2.5	32.41
Fish_01354	2.5	32.48
Fish_01355	1.5	33.19
Fish_01356	3.75	27.03
Fish_01357	2	38.75
Fish_01358	3	29.3
Fish_01359	4	26.51
Fish_01360	1.5	35.25
Fish_01361	2.25	31.26
Fish_01362	1.25	37.26
Fish_01363	1.5	36.34
Fish_01364	2.5	30.21
Fish_01365	1	35.94
Fish_01367	2.75	32.07
Fish_01368	3	29.5
Fish_01369	3.5	32.02
Fish_01370	2	35.06
Fish_01371	1.75	32.1
Fish_01372	1.5	33.2
Fish_01373	3.25	27.96
Fish_01374	2.75	31.01
Fish_01375	1.5	32.2
Fish_01376	3.25	27.37
Fish_01377	1.25	40.25
Fish_01378	2	30.39
Fish_01380	2.75	31.51
Fish_01381	2.5	31.35
Fish_01382	3	28.39
Fish_01383	1.75	34.55
Fish_01384	4	29.46
Fish_01385	2.5	30.46
Fish_01386	3	31.97
Fish_01387	2.25	32.71
Fish_01388	2.5	33.06
Fish_01389	2	35.16
Fish_01390	1	35.3
Fish_01391	1.25	34.02
Fish_01392	1.5	36.7
Fish_01393	2	34.77
Fish_01394	2	31.2
Fish_01395	3	26.64
Fish_01397	2	35.49
Fish_01398	2.5	35.04
Fish_01399	3.5	26.48
Fish_01400	4	27.11
Fish_01401	3.5	29.9
Fish_01402	3.25	32.2
Fish_01403	3	30.39
Fish_01404	3.25	28.71
Fish_01405	3.5	30.05
Fish_01406	1.25	32.81
Fish_01407	4	28.61
Fish_01408	3	29.02
Fish_01409	3	30.84
Fish_01410	1	41.25
Fish_01411	2.5	35.08
Fish_01412	1.25	36.34
Fish_01413	0.75	41.57
Fish_01414	2	34.42
Fish_01415	1.75	31.56
Fish_01416	1.5	31.36
Fish_01417	2	33.45
Fish_01418	3	29.32
Fish_01419	3.75	30.7
Fish_01420	2	29.58
Fish_01421	2.5	31.37
Fish_01422	1.75	35.54
Fish_01423	2.5	31.28
Fish_01424	3.75	26.44
Fish_01425	3.25	30.76
Fish_01427	2.25	32.56
Fish_01428	3.25	29.88
Fish_01429	3.5	29.44
Fish_01430	2.75	29.69
Fish_01431	1.5	35.1
Fish_01432	3	32.58
Fish_01433	4	27.45
Fish_01434	4	25.85
Fish_01435	1	37.77
Fish_01436	4.5	24.55
Fish_01437	3.25	32.55
Fish_01438	1.25	37.44
Fish_01439	3.75	30.24
Fish_01441	3.5	29.47
Fish_01442	4	27.73
Fish_01443	2	31.31
Fish_01444	2	31.94
Fish_01445	4.25	26.53
Fish_01446	4.25	27.52
Fish_01447	3.5	29.13
Fish_01448	2.5	32.8
Fish_01449	3.75	31.15
Fish_01450	3.5	28.71
Fish_01451	4	25.77
Fish_01452	1.75	33.69
Fish_01453	4.5	27.03
Fish_01454	4	26.68
Fish_01455	3.5	26.93
Fish_01456	4	28.3
Fish_01457	2.75	31.59
Fish_01458	4	28.79
Fish_01459	2	32.49
Fish_01460	1	36.62
Fish_01461	1.25	35.77
Fish_01462	1.25	35.52
Fish_01463	1.75	34.24
Fish_01464	3	33.48
Fish_01465	4	25.16
Fish_01468	3.75	28.32
Fish_01470	3.5	28.68
Fish_01471	2.5	33.58
Fish_01472	3.5	32.25
Fish_01473	3.5	27.91
Fish_01474	3.75	28.9
Fish_01475	4	27.26
Fish_01476	4.25	26.66
Fish_01477	3.5	32.77
Fish_01479	3	29.45
Fish_01480	1	35.87
Fish_01481	3.5	29.96
Fish_01482	3	30.33
Fish_01483	3	30.92
Fish_01484	3.25	28.9
Fish_01485	1.5	35.73
Fish_01486	3.5	30.58
Fish_01487	3.25	27.13
Fish_01488	1.25	35.99
Fish_01489	1.75	31.91
Fish_01490	2.5	32.07
Fish_01491	1	35.3
Fish_01492	3	32.57
Fish_01493	3	30.39
Fish_01494	3.75	30.18
Fish_01495	1	31.74
Fish_01496	4	26.23
Fish_01497	3.75	27.01
Fish_01498	2	35.61
Fish_01499	1	38
Fish_01500	3.25	30.6
Fish_01501	4	26.46
Fish_01502	3.5	30.55
Fish_01503	2	33.56
Fish_01504	2	32.98
Fish_01505	2.5	35.04
Fish_01506	3	30.55
Fish_01507	3.25	29.65
Fish_01508	1.75	33.94
Fish_01509	1.5	39.87
Fish_01510	3	30.87
Fish_01511	3.75	28.22
Fish_01512	4	26.59
Fish_01513	4	28.08
Fish_01514	4	27.8
Fish_01515	2	34.45
Fish_01516	3.5	31.4
Fish_01517	3.75	28.29
Fish_01518	4	26.93
Fish_01519	1.5	33.05
Fish_01520	3	30.66
Fish_01521	2.75	28.18
Fish_01522	3.75	30.47
Fish_01523	4	28.72
Fish_01525	2.75	30.82
Fish_01526	3.5	28.2
Fish_01527	3.75	29.03
Fish_01528	3.5	28.62
Fish_01529	3.75	29.94
Fish_01530	2	30.65
Fish_01531	1	37.45
Fish_01532	3.25	32.62
Fish_01533	4.25	27.38
Fish_01534	3	33.67
Fish_01535	3.5	26.57
Fish_01537	1	38.09
Fish_01538	3.75	27.19
Fish_01539	3.5	26.78
Fish_01540	3.5	30.71
Fish_01541	2.5	30.53
Fish_01542	3	31.25
Fish_01543	3.5	30.32
Fish_01544	4	26.73
Fish_01545	1.75	30.51
Fish_01546	4	28.07
Fish_01547	4.25	25.5
Fish_01548	1.75	37.9
Fish_01549	3	28.06
Fish_01550	2	33.93
Fish_01551	4	28.51
Fish_01552	2	36.05
Fish_01553	3	28.07
Fish_01554	3.25	30.14
Fish_01555	2.5	29.87
Fish_01556	3.25	32.35
Fish_01557	1.25	35.51
Fish_01558	4	29.12
Fish_01559	3	32.47
Fish_01560	3.5	27.85
Fish_01561	2	33.06
Fish_01562	2.5	31.07
Fish_01563	3.5	28.98
Fish_01564	3.5	29.06
Fish_01565	4	26.31
Fish_01566	2	32.44
Fish_01567	3.25	31.34
Fish_01568	3	29.77
Fish_01569	3.5	31.3
Fish_01570	4	25.81
Fish_01571	3.5	26.99
Fish_01572	3.75	30.89
Fish_01573	3.5	28.58
Fish_01574	1.5	33.72
Fish_01576	3	31.36
Fish_01577	5	24.81
Fish_01578	4.5	28.34
Fish_01579	4.75	26.96
Fish_01580	3.5	27.98
Fish_01581	3.5	30.93
Fish_01582	4.25	28.42
Fish_01583	2.75	33.36
Fish_01584	4	28.82
Fish_01585	3.5	26.33
Fish_01586	3.75	27.05
Fish_01587	3.5	28.35
Fish_01588	4.5	25.95
Fish_01589	3.5	27
Fish_01591	4.5	26.37
Fish_01592	4.25	26.89
Fish_01593	4.5	26.91
Fish_01594	4	25.69
Fish_01595	3.5	29.38
Fish_01596	3.25	30.65
Fish_01597	2.5	30.34
Fish_01598	3.5	28.25
Fish_01599	3	30.39
Fish_01600	2.75	29.93
Fish_01601	1.5	35.35
Fish_01602	5	25.29
Fish_01603	4	27.87
Fish_01604	2.5	33.39
Fish_01605	3.5	30.07
Fish_01606	4	25.32
Fish_01607	4	29.12
Fish_01608	3.75	27.11
Fish_01609	4	25.22
Fish_01610	3.5	27.5
Fish_01611	4	28.03
Fish_01612	4	27.51
